estimated_population_2019	death_rate
55591	0.5
34109	0.5
530598	0.0312
45998	0.0833
124680	0.0357
1492745	0.0871
62737	0.1389
127686	0.0952
102701	0.1905
29132	0.125
23767	0.25
137890	0.1818
37085	0.25
69027	0.0909
200793	0.0686
12085	0.5
17929	1
38807	0.0556
62698	0.1667
57943	0.4
28935	0.3333
279349	0.1429
29473	0.1
28336	0.125
131521	0.0417
27654	0.3333
82094	0.3333
52137	0.25
32512	0.0625
113145	0.1
208273	0.0769
31082	0.3
52357	0.3333
23752	0.125
21079	0.125
10128	0.1429
70801	0.0152
304589	0.075
31482	0.1463
18050	0.2
13996	1
58986	0.0833
63447	0.1667
53686	0.0385
61403	0.5
8602865	0.0783
19761	0.04
407319	0.0523
881935	0.047
17545	1
15616	1
17852	1
28635	1
1018948	0.0375
32704	0.2
51901	0.0667
13264	0.5
24642	1
28236	0.05
13176	1
7951	0.5
25733	1
3337357	0.045
39565	0.0909
27502	0.3333
42984	0.04
19679	0.1
41161	0.2
28294	0.0149
37869	0.0385
85097	0.0875
48296	0.082
101337	0.0862
9148	0.0909
97377	0.0602
32105	0.1667
2182763	0.0953
55751	0.2
63905	0.0816
19454	0.25
114273	0.0755
36279	0.0385
33347	0.0253
21602	0.019
39299	0.0227
65844	0.0843
17156	0.0435
59849	0.0488
16256	0.0833
4144597	0.0809
50410	0.0577
503327	0.0314
27270	0.0435
121364	0.031
845731	0.0315
17040	1
16970	1
54379	1
23328	0.5
299132	0.0217
30662	0.5
54704	0.2
614872	0.0111
7128	0.5
162327	0.0198
45873	0.125
213223	0.0175
14579	0.1667
8761	1
76147	0.25
216707	0.1111
198440	0.0769
13997	1
2872347	0.0374
19056	1
20519	0.1818
19178	1
338480	0.1071
14873064	0.037
3015268	0.0224
3015268	0.0211
30586	0.2
101220	0.0476
381285	0.0285
21509	0.0435
124859	0.0526
173555	0.0256
50110	0.2
27047	0.25
11574	0.1429
40431	0.1667
130611	0.05
517510	0.0594
78239	0.0588
493838	0.026
362097	0.0289
4018650	0.0346
212440	0.0833
578179	0.04
5600	0.3333
70084	0.1071
1516113	0.0265
208299	0.2308
10988	0.3333
31458	0.2
89918	0.2
3223	0.1667
235647	0.0526
168468	0.0714
7018354	0.0371
8128	1
26803	0.1429
29848	0.0714
104949	0.0294
17055	0.1111
9431	0.4
32695	0.25
12908	0.5
17241	1
258682	0.0441
50266	0.2
14962	0.3333
19433	0.3333
122197	0.0686
30761	0.1538
